Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"April 8, 2021 - March 31, 2026"
Statement,Data,WhenGenerated,"2026-04-01, 17:11:42 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,1763.85
Summary,Data,Change,-1735.4662240829998
Summary,Data,Ending Cash,28.383775917
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-03-31,dm,FX Translations P&L,Adjustment,-,-,-,-,14.501945896990854,-,14.501945896990854
Transaction History,Data,2026-03-30,dm,DGS(US97717W2816) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,DGS,-,-,-,35.6,-,35.6
Transaction History,Data,2026-03-30,dm,DGS(US97717W2816) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,DGS,-,-,-,-10.68,-,-10.68
Transaction History,Data,2026-03-30,dm,DGS(US97717W2816) Cash Dividend USD 0.20 per Share (Ordinary Dividend),Dividend,DGS,-,-,-,2.04,-,2.04
Transaction History,Data,2026-03-30,dm,DGS(US97717W2816) Cash Dividend USD 0.20 per Share - US Tax,Foreign Tax Withholding,DGS,-,-,-,-0.61,-,-0.61
Transaction History,Data,2026-03-13,dm,Electronic Fund Transfer,Deposit,-,-,-,-,5600.0,-,5600.0
Transaction History,Data,2026-03-13,dm,AVANTIS GBSMCAPVAL UCITS ETF,Buy,AVGS,233.0,24.9326,USD,-5809.3,-2.90465,-5812.204650000001
Transaction History,Data,2026-03-13,dm,AVANTIS GBSMCAPVAL UCITS ETF,Buy,AVGS,0.4292,24.935,USD,-10.702102,-0.005351051,-10.707453051
Transaction History,Data,2026-03-12,dm,AVES(US0250723725) Cash Dividend USD 0.0655 per Share (Ordinary Dividend),Dividend,AVES,-,-,-,60.69,-,60.69
Transaction History,Data,2026-03-12,dm,AVES(US0250723725) Cash Dividend USD 0.0655 per Share - US Tax,Foreign Tax Withholding,AVES,-,-,-,-18.21,-,-18.21
Transaction History,Data,2026-03-12,dm,AVDV(US0250728021) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,AVDV,-,-,-,21.66,-,21.66
Transaction History,Data,2026-03-12,dm,AVDV(US0250728021) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,AVDV,-,-,-,-6.5,-,-6.5
Transaction History,Data,2026-03-12,dm,AVDV(US0250728021) Cash Dividend USD 0.121 per Share (Ordinary Dividend),Dividend,AVDV,-,-,-,93.0,-,93.0
Transaction History,Data,2026-03-12,dm,AVDV(US0250728021) Cash Dividend USD 0.121 per Share - US Tax,Foreign Tax Withholding,AVDV,-,-,-,-27.9,-,-27.9
Transaction History,Data,2026-03-12,dm,AVUV(US0250728773) Cash Dividend USD 0.28 per Share (Ordinary Dividend),Dividend,AVUV,-,-,-,153.69,-,153.69
Transaction History,Data,2026-03-12,dm,AVUV(US0250728773) Cash Dividend USD 0.28 per Share - US Tax,Foreign Tax Withholding,AVUV,-,-,-,-46.11,-,-46.11
Transaction History,Data,2026-03-09,dm,Net Amount in Base from Forex Trade: -0.11 EUR.USD,Forex Trade Component,EUR.USD,-0.11,1.16165,USD,-2.1450000000000635E-4,-,-2.1450000000000635E-4
